# Magnetic material data,,,,,,,,,,,,,,,
# Each row defines one Steinmetz segment for a material.,,,,,,,,,,,,,,,
# A material is shown in the bar charts only when the entered frequency,,,,,,,,,,,,,,,
# falls within at least one of its freq_min/freq_max ranges.,,,,,,,,,,,,,,,
# Multiple rows for the same material = piecewise Steinmetz.,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# Core loss model:  Pv [kW/m^3] = k ¬∑ f[kHz]^alpha ¬∑ B[mT]^beta,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
material,mu,bsat_mT,freq_min_kHz,freq_max_kHz,k-25,alpha-25,beta-25,k-100,alpha-100,beta-100,type,manufacturer,notes,datasheet,Tags
3C96,2000,500,200,400,3.98E-08,2.21999995,2.464999945,1.69E-08,2.21999995,2.464999945,MnZn,Ferroxcube,min. loss @100 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c96.pdf,min-loss-100C
3C90,2300,470,20,200,7.68E-07,1.46,2.75,4.32E-07,1.46,2.75,MnZn,Ferroxcube,min. loss @100 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c90.pdf,min-loss-100C
3C94,2300,470,20,149,2.12E-07,1.419999968,2.884999936,1.42E-07,1.419999968,2.884999936,MnZn,Ferroxcube,min. loss @100 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c94.pdf,min-loss-100C
3C94,2300,470,150,399,1.77E-08,2.124999953,2.70499994,1.07E-08,2.124999953,2.70499994,MnZn,Ferroxcube,min. loss @100 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c94.pdf,min-loss-100C
3C94,2300,470,400,401,1.32E-09,2.6,2.75,7.45E-10,2.6,2.75,MnZn,Ferroxcube,min. loss @100 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c94.pdf,min-loss-100C
3C98,2500,530,25,99,2.69E-07,1.4,2.85,1.12E-07,1.4,2.85,MnZn,Ferroxcube,min. loss @100 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c98.pdf,min-loss-100C
3C98,2500,530,100,299,1.11E-07,1.85,2.6,5.22E-08,1.85,2.6,MnZn,Ferroxcube,min. loss @100 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c98.pdf,min-loss-100C
3C98,2500,530,300,600,9.03E-08,2.1,2.3,4.90E-08,2.1,2.3,MnZn,Ferroxcube,min. loss @100 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c98.pdf,min-loss-100C
3C91,3000,470,20,99,1.13E-06,1.4,2.5,1.75E-06,1.4,2.5,MnZn,Ferroxcube,min. loss @60 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c91.pdf,loss-min-60C
3C91,3000,470,100,199,1.13E-06,1.4,2.5,1.75E-06,1.4,2.5,MnZn,Ferroxcube,min. loss @60 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c91.pdf,loss-min-60C
3C91,3000,470,200,400,9.58E-13,4.05,2.5,1.49E-12,4.05,2.5,MnZn,Ferroxcube,min. loss @60 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c91.pdf,loss-min-60C
3C95,3000,530,20,149,7.00E-06,1.045,2.44,6.02E-06,1.045,2.44,MnZn,Ferroxcube,Flat loss @25-100 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c95.pdf,flat-temp
3C95,3000,530,150,299,4.65E-09,1.955,3.07,3.38E-09,1.955,3.07,MnZn,Ferroxcube,Flat loss @25-100 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c95.pdf,flat-temp
3C95,3000,530,300,400,2.39E-08,2.055,2.535,2.86E-08,2.055,2.535,MnZn,Ferroxcube,Flat loss @25-100 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c95.pdf,flat-temp
3C97,3000,530,20,149,6.26E-07,1.16,2.8,5.09E-07,1.16,2.8,MnZn,Ferroxcube,Flat loss @60-140 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c97.pdf,flat-temp
3C97,3000,530,150,299,6.48E-09,1.99,2.935,5.04E-09,1.99,2.935,MnZn,Ferroxcube,Flat loss @60-140 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c97.pdf,flat-temp
3C97,3000,530,300,400,4.60E-08,2.055,2.415,3.73E-08,2.055,2.415,MnZn,Ferroxcube,Flat loss @60-140 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3c97.pdf,flat-temp
3C97T,3300,550,,,0,,,0,,,MnZn,Ferroxcube,Flat loss @25-140 °C,https://www.ferroxcube.com/upload/media/product/file/MDS/3C97T%2020241030%20[draft].pdf,
3C97T for WPT,3000,500,,,0,,,0,,,MnZn,Ferroxcube,a low-loss at freq. 20-250kHz ,https://www.ferroxcube.com/upload/media/product/file/MDS/3C97T%20for%20WPT.pdf,
4F1,80,320,,,0,,,0,,,MnZn,Ferroxcube,freq. < 15 MHz,https://www.ferroxcube.com/upload/media/product/file/MDS/4f1.pdf,
3F46,750,520,1000,3000,1.99E-10,2.6,2.4,9.97E-10,2.5,2.34,MnZn,Ferroxcube,optimal frequency 1-3 MHz,https://www.ferroxcube.com/upload/media/product/file/MDS/3f46.pdf,
3F4,900,410,100,599,5.55E-06,1.1,2.7,4.75E-06,1.1,2.7,MnZn,Ferroxcube,optimal frequency < 2 MHz,https://www.ferroxcube.com/upload/media/product/file/MDS/3f4.pdf,
3F4,900,410,600,999,1.20E-07,1.7,2.7,1.89E-09,2.3,2.7,MnZn,Ferroxcube,optimal frequency < 2 MHz,https://www.ferroxcube.com/upload/media/product/file/MDS/3f4.pdf,
3F4,900,410,1000,3000,2.05E-09,2.4,2.5,9.53E-09,2.4,2.1,MnZn,Ferroxcube,optimal frequency < 2 MHz,https://www.ferroxcube.com/upload/media/product/file/MDS/3f4.pdf,
3F36,1600,520,,,0,,,0,,,MnZn,Ferroxcube,"optimal frequency < 600 kHz,flat power loss 25-100 °C",https://www.ferroxcube.com/upload/media/product/file/MDS/3f36.pdf,flat-temp
3F37,1600,520,,,0,,,0,,,MnZn,Ferroxcube,"optimal frequency ≈ 500 kHz, suitable for next generation converters and power modules",https://www.ferroxcube.com/upload/media/product/file/MDS/2025%20MDS%203F37.pdf,
3F3,2000,440,,,0,,,0,,,MnZn,Ferroxcube,optimal frequency ≤ 400 kHz ,https://www.ferroxcube.com/upload/media/product/file/MDS/3f3.pdf,
DMR40,2300,510,20,300,3.211E-05,1.028,2.272,6.908E-07,1.341,2.64,MnZn,DMEGC,<0.3MHz,https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,
DMR44,2400,510,20,400,1.528E-05,1.277,2.2,1.301E-07,1.629,2.654,MnZn,DMEGC,<0.4MHz,https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,
DMR47,2500,530,100,400,7.922E-06,1.411,2.203,2.475E-08,2.052,2.568,MnZn,DMEGC,<0.4MHz,https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,
DMR95,3300,530,100,1000,1.698E-07,2.019,2.097,1.698E-07,2.019,2.097,MnZn,DMEGC,"Wide temp, <0.4MHz",https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,flat-temp
DMR96,3300,540,100,500,3.111E-07,1.677,2.433,1.716E-08,1.915,2.728,MnZn,DMEGC,"Wide temp, <0.4MHz",https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,flat-temp
DMR96A,3300,540,100,600,8.694E-08,1.629,2.678,4.260E-08,1.778,2.707,MnZn,DMEGC,"Wide temp, <0.6MHz",https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,flat-temp
DMR91,2000,550,100,1000,3.759E-06,1.53,2.271,1.243E-08,2.15,2.592,MnZn,DMEGC,"High Bsat, <0.5MHz",https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,high-bsat
DMR24,2000,540,5,200,3.304E-06,1.411,2.401,1.233E-08,1.844,2.964,MnZn,DMEGC,"High Bsat, <0.2MHz",https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,high-bsat
DMR28,2000,600,5,200,5.182E-06,1.334,2.386,2.261E-05,1.376,2.183,MnZn,DMEGC,"High Bsat, <0.2MHz",https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,high-bsat
DMR50,1400,470,100,1000,7.760E-07,1.293,2.845,5.011E-09,1.393,3.866,MnZn,DMEGC,0.5-1MHz,https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,
DMR51,1100,500,500,2000,1.901E-08,1.647,3.066,4.132E-10,2.232,3.022,MnZn,DMEGC,0.5-2MHz,https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,
DMR51W,900,500,700,5000,1.560E-10,2.476,2.628,1.094E-10,2.563,2.529,MnZn,DMEGC,1-3MHz,https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,
DMR52W,600,540,3000,6000,7.827E-10,2.33,2.376,7.057E-10,2.391,2.249,MnZn,DMEGC,3-6MHz,https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,
DMR53,900,560,500,5000,2.455E-10,2.338,2.742,2.280E-10,2.225,3.01,MnZn,DMEGC,0.5-3MHz,https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,
DMR70,2300,420,5,100,,,,,,,MnZn,DMEGC,Filter Inductor,https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,
DMR71,3800,550,5,500,,,,,,,MnZn,DMEGC,High Bsat for telecommunication,https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,high-bsat
DMR73,4200,470,5,500,,,,,,,MnZn,DMEGC,Wide temp (40-85C) with super DC bias,https://www.chinadmegc.com/uploads/20250515/%E9%94%B0%E9%94%8C%E7%9B%AE%E5%BD%95.pdf.pdf,"flat-temp, dc-bias"
